                 l            r(l,1)            r(l,2)            r(l,3)                Vp
    1.000000000E+00    1.212873086E+01    9.994152784E+01    3.399303675E+02    7.019888215E-21
    2.000000000E+00    9.845259786E+01    3.628716469E+01    2.575341702E+02    1.786530073E-12
    3.000000000E+00    3.181320727E+01    4.648168683E+01    9.920842201E+00    7.205754956E+00
    4.000000000E+00    5.841412544E+01    1.046455558E+00    2.603531599E+02    7.691049752E-13
    5.000000000E+00    8.314181566E+01    9.707352519E+01    1.561300397E+02    6.945493957E-06
    6.000000000E+00    6.328071356E+01    5.311104655E+01    2.947091341E+02    2.862355765E-14
    7.000000000E+00    2.451050133E+01    5.024725199E+01    2.543580532E+02    3.826284958E-11
    8.000000000E+00    5.653180480E+01    9.309800267E+01    3.254381418E+01    8.158828011E-01
    9.000000000E+00    8.945393562E+01    3.661162853E+01    3.140913248E+02    1.845984629E-16
    1.000000000E+01    7.923659682E+01    6.349014640E+01    1.171753481E+01    5.904839292E+00
    1.100000000E+01    8.309267163E+01    7.943214774E+01    5.847524479E+00    7.190612725E+00
    1.200000000E+01    7.411057353E+01    9.560872316E+01    1.742151618E+02    1.616123770E-06
    1.300000000E+01    9.724439979E+01    9.201775789E+01    1.592703223E+02    2.260858586E-06
    1.400000000E+01    7.633948326E+01    8.459176421E+01    1.652942002E+01    3.592408396E+00
    1.500000000E+01    5.348461270E+01    8.673523664E+01    1.866211653E+02    1.195010033E-06
    1.600000000E+01    7.706669569E+01    2.073738277E+01    3.452687263E+02    1.922230376E-19
    1.700000000E+01    2.494212389E+01    1.022642255E+01    2.682938576E+02    8.001292204E-13
    1.800000000E+01    8.566337228E+01    8.643209338E+01    1.333796382E+02    3.174182838E-04
    1.900000000E+01    2.313490063E+01    8.639709353E+01    1.681869149E+02    8.407702786E-06
    2.000000000E+01    1.839877367E+01    3.270177245E+01    3.148871660E+02    1.464520734E-16
    2.100000000E+01    4.825589955E+01    8.971980810E+01    1.472191334E+02    1.201781073E-04
    2.200000000E+01    9.050684571E+01    7.206539512E+01    6.356666088E+01    1.348183510E-01
    2.300000000E+01    9.392851591E+01    2.011989206E+01    2.104005575E+02    1.041884201E-08
    2.400000000E+01    4.948943853E+01    8.933723718E+00    3.220122337E+02    1.934667994E-17
    2.500000000E+01    3.604079187E+01    4.850942791E+01    2.356348515E+02    1.360797941E-09
    2.600000000E+01    2.530465126E+01    8.966491222E+01    2.272786945E+01    1.801460565E+00
    2.700000000E+01    8.643211126E+01    5.069047958E+00    2.288806915E+02    3.130104776E-10
    2.800000000E+01    6.603663564E+01    1.056778431E+01    2.853605509E+02    4.478809967E-14
    2.900000000E+01    7.831987739E+01    6.952057034E+00    3.885287523E+02    1.506085453E-24
    3.000000000E+01    7.657622546E+00    3.378379345E+00    4.828604460E+01    4.263439678E-02
    3.100000000E+01    2.528485954E+01    1.068561524E+01    5.502974987E+01    2.384552946E-01
    3.200000000E+01    5.506800413E+01    5.750179291E+01    3.470931292E+02    3.354581116E-19
    3.300000000E+01    1.650121510E+01    1.468611956E+01    1.625115037E+02    1.171131191E-05
    3.400000000E+01    1.002226546E+01    2.797702253E+01    2.224887609E+02    2.575025716E-09
    3.500000000E+01    1.629145145E+01    2.009464502E+01    3.517048120E+02    1.907066076E-20
    3.600000000E+01    5.325986743E+01    5.231940746E+01    5.286792517E+01    1.012280728E+00
    3.700000000E+01    4.998713732E+01    4.779690206E+01    2.684250593E+02    4.604378480E-12
    3.800000000E+01    2.486047745E+01    4.382637739E+01    3.022038221E+02    3.511308060E-15
    3.900000000E+01    9.575911760E+01    1.151901707E+01    2.942841768E+02    1.552834341E-15
    4.000000000E+01    9.099370241E+01    6.481996179E+01    2.680499315E+02    1.639307786E-12
